sku,barcode,name,category,brand,unit,cost_price,sale_price,tax_rate
TAL-DEW-DWD024,770123400001,Taladro Percutor 1/2 Pulgada 650W,Herramientas Eléctricas,DeWalt,UND,180000,245000,19
PUL-BOS-GWS700,770123400002,Pulidora Angular 4-1/2 Pulgada 710W,Herramientas Eléctricas,Bosch,UND,165000,220000,19
DIS-COR-412,770123400003,Disco de Corte Metal Fino 4-1/2 Pulgada,Herramientas Manuales,Stanley,UND,3500,5500,19
CIE-PVC-PAV-12,770123400004,Tubo PVC Presión 1/2 pulgada x 6 metros,Plomería y Tuberías,Pavco,UND,14000,21000,19
SOL-PVC-250,770123400005,Soldadura Líquida PVC Pegacor 250ml,Plomería y Tuberías,Pavco,UND,11500,16500,19
CAB-THHN-12-BLA,770123400006,Cable Eléctrico 7 Hilos Calibre 12 Blanco x Metro,Materiales Eléctricos,Centelsa,MTR,2800,4200,19
BRE-SQU-20A,770123400007,Interruptor Automático Breaker Enchufable 1x20A,Materiales Eléctricos,Schneider,UND,14000,22000,19
CIN-AIS-3M,770123400008,Cinta Aislante Eléctrica Scotch 3M Negra 20m,Materiales Eléctricos,3M,UND,4200,6800,19
MAR-MAN-FIB-16,770123400009,Martillo de Uña Curva 16oz Mango Fibra,Herramientas Manuales,Stanley,UND,22000,34000,19
TOR-ENS-6X1,770123400010,Tornillo Drywall Ensamble 6 x 1 Pulgada x 100 Unds,Tornillería y Fijaciones,Stanley,CJA,4500,7500,19
